Product_ID,Product Type,Product Name,Interest Rate (%),Eligibility Criteria
1,Loan,Rewards,6.99,"Min Income: ₹354275, Min Credit Score: 704"
2,Credit Card,Education Loan,13.86,"Min Income: ₹910583, Min Credit Score: 600"
3,Investment,Education Loan,7.72,"Min Income: ₹835837, Min Credit Score: 736"
4,Loan,Cashback,6.63,"Min Income: ₹917619, Min Credit Score: 614"
5,Investment,Fixed Deposits,14.53,"Min Income: ₹648547, Min Credit Score: 665"
6,Investment,Personal Loan,11.72,"Min Income: ₹911687, Min Credit Score: 657"
7,Investment,Insurance,9.78,"Min Income: ₹384016, Min Credit Score: 602"
8,Credit Card,Business Loan,14.09,"Min Income: ₹671333, Min Credit Score: 617"
9,Credit Card,Fixed Deposits,8.4,"Min Income: ₹428915, Min Credit Score: 603"
10,Credit Card,Education Loan,14.11,"Min Income: ₹865366, Min Credit Score: 602"
11,Investment,Cashback,14.11,"Min Income: ₹326427, Min Credit Score: 720"
12,Loan,Education Loan,12.66,"Min Income: ₹875941, Min Credit Score: 630"
13,Investment,Auto Loan,14.57,"Min Income: ₹648671, Min Credit Score: 619"
14,Loan,Premium,9.09,"Min Income: ₹860187, Min Credit Score: 617"
15,Credit Card,Insurance,5.11,"Min Income: ₹576695, Min Credit Score: 612"
16,Investment,Fixed Deposits,12.04,"Min Income: ₹713665, Min Credit Score: 625"
17,Credit Card,Gold Bonds,14.99,"Min Income: ₹804076, Min Credit Score: 683"
18,Investment,Auto Loan,12.42,"Min Income: ₹572674, Min Credit Score: 688"
19,Investment,Business,5.11,"Min Income: ₹549449, Min Credit Score: 732"
20,Loan,Personal Loan,7.07,"Min Income: ₹373887, Min Credit Score: 700"
21,Credit Card,Mutual Funds,14.71,"Min Income: ₹464561, Min Credit Score: 730"
22,Investment,Premium,11.24,"Min Income: ₹200895, Min Credit Score: 678"
23,Credit Card,Insurance,13.5,"Min Income: ₹462629, Min Credit Score: 743"
24,Loan,Auto Loan,12.89,"Min Income: ₹975553, Min Credit Score: 698"
25,Investment,Personal Loan,7.02,"Min Income: ₹361561, Min Credit Score: 601"
26,Investment,Rewards,9.16,"Min Income: ₹663979, Min Credit Score: 702"
27,Credit Card,Gold Bonds,11.54,"Min Income: ₹924712, Min Credit Score: 671"
28,Investment,Travel,6.7,"Min Income: ₹758467, Min Credit Score: 673"
29,Credit Card,Stocks,7.52,"Min Income: ₹235881, Min Credit Score: 690"
30,Credit Card,Travel,7.49,"Min Income: ₹245664, Min Credit Score: 672"
31,Loan,Cashback,7.39,"Min Income: ₹697462, Min Credit Score: 601"
32,Credit Card,Mutual Funds,9.17,"Min Income: ₹840701, Min Credit Score: 625"
33,Investment,Home Loan,5.29,"Min Income: ₹968566, Min Credit Score: 744"
34,Investment,Auto Loan,8.13,"Min Income: ₹688536, Min Credit Score: 729"
35,Credit Card,Mutual Funds,12.44,"Min Income: ₹329526, Min Credit Score: 672"
36,Investment,Home Loan,12.39,"Min Income: ₹497453, Min Credit Score: 663"
37,Credit Card,Fixed Deposits,13.33,"Min Income: ₹260504, Min Credit Score: 694"
38,Loan,Mutual Funds,7.91,"Min Income: ₹898463, Min Credit Score: 716"
39,Loan,Insurance,12.97,"Min Income: ₹448570, Min Credit Score: 716"
40,Credit Card,Business,7.52,"Min Income: ₹270539, Min Credit Score: 725"
41,Investment,Auto Loan,8.35,"Min Income: ₹378547, Min Credit Score: 677"
