User_ID,Age,Income (INR),Credit Score,Risk Appetite,Preferred Spending
1,56,2438154,773,Low,Travel
2,69,203285,784,High,Entertainment
3,46,2857303,312,Medium,Healthcare
4,32,3233361,452,Low,Healthcare
5,60,1904491,538,High,Dining
6,25,1581688,489,Medium,Groceries
7,38,1302491,385,Low,Entertainment
8,56,865979,320,High,Groceries
9,36,984278,618,Medium,Dining
10,40,707553,457,Low,Healthcare
11,28,1176778,780,Low,Shopping
12,28,4284457,375,Medium,Healthcare
13,41,2670562,628,High,Dining
14,53,2738076,715,High,Healthcare
15,57,3998057,502,Medium,Entertainment
16,41,3398747,528,Low,Healthcare
17,20,4925965,451,Medium,Healthcare
18,39,2102871,371,Medium,Healthcare
19,19,822215,524,Medium,Shopping
20,41,2011049,772,Low,Travel
21,61,546229,659,Medium,Travel
22,47,1366572,839,Medium,Groceries
23,55,4957812,345,Low,Travel
24,19,2689799,300,Low,Travel
25,38,4926234,544,Medium,Travel
26,50,279971,518,High,Healthcare
27,29,2073200,590,Medium,Healthcare
28,39,1766049,757,Low,Entertainment
29,61,4791901,503,Low,Shopping
30,42,3049095,501,Low,Healthcare
31,66,1515502,865,High,Healthcare
32,44,4580088,781,Low,Travel
33,59,1399110,810,High,Shopping
34,45,1046462,577,Low,Shopping
35,33,923879,315,Low,Travel
36,32,4188571,824,Medium,Travel
37,64,3532006,655,High,Shopping
38,68,1819814,655,Medium,Dining
39,61,1644315,898,High,Travel
40,69,1702718,377,Low,Travel
41,20,3028340,366,Low,Shopping
42,54,1394737,513,High,Dining
43,68,3743525,748,Medium,Entertainment
44,24,598825,732,High,Dining
45,38,2085190,844,High,Groceries
46,26,4895781,414,High,Dining
47,56,430596,719,Low,Travel
48,35,3079198,798,High,Healthcare
49,21,4322990,679,Low,Shopping
50,42,4305810,442,Medium,Entertainment
51,31,2942651,323,Low,Travel
52,67,1633482,838,Medium,Entertainment
53,26,494358,374,Medium,Shopping
54,43,3073798,834,Medium,Entertainment
55,19,4921005,340,Low,Dining
56,37,1782369,867,High,Shopping
57,45,3186386,712,Low,Travel
58,64,1381753,714,Medium,Healthcare
59,24,1447752,748,High,Travel
60,61,4784751,735,Low,Groceries
61,25,4895154,851,Medium,Shopping
62,64,3514479,538,Medium,Travel
63,52,316908,341,High,Dining
64,31,2543145,309,Low,Dining
65,34,3575896,564,High,Entertainment
66,53,1051563,880,High,Travel
67,67,1050712,744,High,Entertainment
68,57,4147922,438,High,Groceries
69,21,841142,495,Low,Shopping
70,19,437902,373,High,Groceries
71,23,2360231,524,Medium,Healthcare
72,59,1794441,401,Medium,Entertainment
73,21,4704562,563,Medium,Travel
74,46,682450,460,High,Entertainment
75,35,2098238,532,Medium,Groceries
76,43,1719598,790,Low,Healthcare
77,61,2409485,610,High,Groceries
78,51,2859232,526,High,Healthcare
79,27,245807,572,High,Dining
80,53,1635986,616,Low,Dining
81,31,860501,385,High,Travel
82,48,1758274,590,High,Groceries
83,65,847272,768,Medium,Dining
84,32,4932369,877,Medium,Entertainment
85,25,3384074,703,High,Shopping
86,31,3138287,726,Low,Entertainment
87,40,3964993,674,Medium,Dining
88,57,509963,866,High,Dining
89,38,4291701,551,Medium,Groceries
90,33,1383493,832,Medium,Healthcare
91,62,4941882,606,Low,Shopping
92,35,1623271,729,High,Shopping
93,64,4818219,563,Medium,Healthcare
94,41,1907229,367,High,Groceries
95,43,4250177,406,Low,Dining
96,42,2940936,699,Low,Healthcare
97,62,1751726,878,Medium,Shopping
98,58,2706976,498,Low,Shopping
99,46,4591649,491,Medium,Dining
100,32,3100203,813,High,Dining
101,62,1850870,741,Medium,Travel
102,18,3820597,300,Medium,Entertainment
103,42,1008062,657,Low,Healthcare
104,24,3189159,414,High,Dining
105,26,867538,899,High,Travel
106,41,4807455,496,Medium,Groceries
107,18,2213338,573,High,Shopping
108,61,3278378,459,High,Healthcare
109,25,2262624,472,Medium,Entertainment
110,41,4845373,844,Medium,Groceries
111,28,2147175,757,High,Healthcare
112,68,4461663,884,Medium,Healthcare
113,34,2500612,732,Low,Dining
114,25,4210768,780,High,Travel
115,52,2242749,754,Medium,Healthcare
116,52,1525831,495,High,Entertainment
117,50,4680609,898,High,Groceries
118,22,1105352,608,Low,Entertainment
119,59,1091255,855,Low,Healthcare
120,56,2160022,793,High,Entertainment
121,58,3476194,738,Low,Entertainment
122,45,2478598,658,Medium,Travel
123,24,4811534,335,High,Shopping
124,26,2081397,333,Low,Healthcare
125,25,4111251,387,High,Groceries
126,29,4805681,315,High,Shopping
127,51,1880664,720,Medium,Entertainment
128,50,3746434,852,Medium,Shopping
129,65,2678843,425,Medium,Dining
130,40,962557,307,Low,Dining
131,41,4430061,771,Low,Healthcare
132,54,2919713,767,Low,Groceries
133,52,4346477,809,Medium,Dining
134,61,782933,701,High,Entertainment
135,57,521199,475,Medium,Travel
136,39,1126502,666,Low,Travel
137,44,4029994,787,Low,Entertainment
138,52,1611746,317,Low,Shopping
139,18,2629488,355,Medium,Entertainment
140,52,229092,334,Low,Shopping
141,54,857191,872,Medium,Shopping
142,64,2587807,899,High,Travel
143,31,1083435,646,Medium,Dining
144,20,4281534,331,Low,Entertainment
145,18,2090576,432,High,Dining
146,22,3709934,875,Low,Healthcare
147,43,3659379,498,High,Groceries
148,31,407580,555,Low,Travel
149,56,969032,641,Medium,Shopping
150,44,1872992,530,Low,Groceries
151,26,4942256,600,Medium,Shopping
152,32,3972380,846,Medium,Groceries
153,32,4558548,325,High,Groceries
154,43,676857,834,Medium,Dining
155,59,1860100,773,Medium,Healthcare
156,30,211017,686,Medium,Healthcare
157,68,4131895,584,High,Shopping
158,49,3300786,749,Low,Travel
159,56,2851788,619,Low,Healthcare
160,66,3755392,455,Medium,Travel
161,69,2568787,770,Medium,Shopping
162,49,409720,719,Low,Travel
163,21,2418222,412,Medium,Groceries
164,47,4190919,721,Low,Groceries
165,54,3215624,897,High,Shopping
166,40,4337192,584,Medium,Travel
167,56,2332162,871,Medium,Travel
168,62,4317386,353,Low,Shopping
169,32,1895625,624,Low,Healthcare
170,60,2162160,757,High,Dining
171,46,1934872,564,Medium,Healthcare
172,53,1851722,681,Low,Entertainment
